Date,05T,59T,61T,50T,52T,53T,54T,08T,19T,27T,24T,26T,79T,46T,30T,32T,77T,35T,36T,40T,75T,76T,44T,62T,63T,80T
2017_05_24,22.0,24.0,20.0,22.0,22.0,22.0,22.0,21.0,21.0,17.0,47.0,9.0,22.416666666666668,18.0,12.0,13.0,14.0,21.0,22.0,21.0,13.0,18.0,13.0,13.0,13.0,
2017_05_25,14.0,26.0,16.0,18.25,17.0,18.25,18.25,19.175,19.175,19.0,40.0,5.0,19.175,18.0,14.0,9.0,15.0,26.0,28.0,17.0,11.0,13.0,12.0,12.0,12.0,
2017_05_26,13.0,20.0,15.0,18.0,24.0,18.0,18.0,19.0,19.0,27.0,43.0,9.0,20.25,18.0,22.0,9.0,15.5,13.0,15.0,7.0,6.0,5.0,20.0,20.0,20.0,
2017_05_27,19.0,25.0,19.0,22.25,26.0,22.25,22.25,25.0,25.0,23.25,41.0,9.0,23.25,30.0,14.0,7.0,10.5,14.0,15.0,9.0,8.0,3.0,18.0,18.0,18.0,
2017_05_28,9.0,26.0,13.0,17.25,21.0,17.25,17.25,15.0,15.0,17.34090909090909,33.0,7.0,17.34090909090909,31.0,10.0,6.0,10.0,18.0,17.0,13.0,15.0,3.0,18.0,18.0,18.0,
2017_05_29,8.0,20.0,13.0,15.0,19.0,15.0,15.0,16.0,16.0,15.0,38.0,9.0,16.583333333333332,31.0,14.0,8.0,11.0,20.0,18.0,14.0,18.0,4.0,19.0,19.0,19.0,
2017_05_30,12.0,24.0,14.0,18.0,22.0,18.0,18.0,21.0,21.0,16.0,33.0,11.0,19.0,20.0,16.0,13.0,15.0,16.0,21.0,9.0,18.0,8.0,21.0,21.0,21.0,
2017_05_31,13.0,26.0,18.0,20.25,24.0,20.25,20.25,22.0,22.0,25.0,33.0,11.0,21.229166666666668,17.0,14.0,15.0,18.0,17.0,16.0,7.0,6.0,10.0,16.0,16.0,16.0,
2017_06_01,9.0,23.0,18.0,16.25,15.0,16.25,16.25,18.0,18.0,16.0,25.0,10.0,16.729166666666668,19.0,14.0,16.5,19.0,20.0,21.0,9.0,9.0,9.0,22.0,22.0,22.0,
2017_06_02,11.0,28.0,13.0,18.25,21.0,18.25,18.25,15.0,15.0,16.0,23.0,7.0,16.979166666666668,19.0,11.0,12.5,14.0,20.0,18.0,8.0,11.0,6.0,18.0,18.0,18.0,
2017_06_03,10.666666666666666,14.0,7.0,10.666666666666666,11.0,10.666666666666666,10.666666666666666,11.0,11.0,10.0,17.0,7.0,10.888888888888888,11.0,10.0,11.0,12.0,16.0,16.0,6.0,8.0,5.0,21.0,21.0,21.0,
2017_06_04,12.0,14.0,8.0,12.0,14.0,12.0,12.0,11.0,11.0,10.0,6.0,5.0,10.583333333333334,12.0,12.0,11.0,10.0,11.0,11.0,4.0,5.0,2.0,18.0,18.0,18.0,
2017_06_05,13.333333333333334,14.0,10.0,13.333333333333334,16.0,13.333333333333334,13.333333333333334,15.0,15.0,13.12121212121212,13.0,8.0,13.12121212121212,13.0,7.0,7.0,7.0,19.0,18.0,5.0,7.0,12.25,22.0,22.0,22.0,
2017_06_06,5.0,14.0,10.0,10.75,14.0,10.75,10.75,15.0,15.0,11.022727272727273,11.022727272727273,8.0,8.0,14.0,9.0,10.5,12.0,22.0,22.0,10.0,10.0,16.0,12.0,12.0,12.0,
2017_06_07,6.0,18.0,11.0,14.0,15.0,11.0,12.5,17.0,4.0,11.0,20.0,7.0,6.0,13.5,7.0,6.0,10.0,18.0,18.0,6.0,7.0,12.25,13.0,9.0,24.0,12.0
2017_06_08,6.0,17.0,12.0,14.0,15.0,14.0,13.0,14.0,4.0,12.0,14.0,9.0,7.0,13.0,8.0,6.0,9.0,11.0,11.0,5.0,7.5,3.0,16.0,12.0,17.0,13.0
