Date,05T,59T,61T,50T,52T,53T,54T,08T,19T,27T,24T,26T,79T,46T,30T,32T,77T,35T,36T,40T,75T,76T,44T,62T,63T,80T
2017_01_17,36.0,23.0,35.0,,36.0,,,31.0,,47.0,63.0,53.0,,26.0,16.0,16.0,23.0,35.0,26.0,24.0,9.0,46.0,6.0,,,
2017_01_18,46.0,32.0,40.0,,42.0,,,34.0,,50.0,51.0,33.0,,,23.0,20.0,26.0,37.0,25.0,24.0,12.0,40.0,10.0,,,
2017_01_19,42.0,41.0,38.0,,47.0,,,34.0,,66.0,48.0,43.0,,37.0,29.0,22.0,32.0,36.0,33.0,20.0,10.0,33.0,,,,
2017_01_20,40.0,29.0,36.0,,36.0,,,36.0,,61.0,43.0,47.0,,24.0,30.0,22.0,28.0,32.0,27.0,20.0,12.0,30.0,,,,
2017_01_21,37.0,27.0,34.0,,35.0,,,30.0,,51.0,31.0,48.0,,,26.0,20.0,28.0,34.0,29.0,18.0,11.0,28.0,13.0,,,
2017_01_22,31.0,23.0,28.0,,31.0,,,24.0,,33.0,25.0,37.0,,,21.0,16.0,21.0,27.0,21.0,16.0,7.0,35.0,13.0,,,
2017_01_23,38.0,25.0,32.0,,35.0,,,29.0,,44.0,29.0,37.0,,32.0,21.0,19.0,27.0,29.0,24.0,16.0,9.0,27.0,10.0,,,
2017_01_24,43.0,34.0,40.0,,46.0,,,37.0,,53.0,32.0,39.0,,41.0,21.0,26.0,30.0,34.0,21.0,18.0,9.0,31.0,16.0,,,
2017_01_25,55.0,45.0,48.0,,57.0,,,49.0,,57.0,39.0,42.0,,28.0,33.0,34.0,56.0,32.0,19.0,18.0,10.0,33.0,14.0,,,
2017_01_26,35.0,32.0,32.0,,44.0,,,29.0,,54.0,33.0,34.0,,,16.0,16.0,27.0,30.0,15.0,22.0,10.0,31.0,9.0,,,
2017_01_27,38.0,27.0,35.0,,43.0,,,32.0,,44.0,37.0,36.0,,29.0,17.0,20.0,25.0,33.0,20.0,16.0,11.0,36.0,,,,
2017_01_28,45.0,29.0,39.0,,45.0,,,39.0,,44.0,42.0,41.0,,35.0,20.0,23.0,36.0,32.0,24.0,17.0,11.0,42.0,,,,
2017_01_29,58.0,47.0,53.0,,62.0,,,57.0,,53.0,80.0,44.0,,64.0,,38.0,42.0,39.0,28.0,32.0,15.0,,17.0,,,
2017_01_30,55.0,45.0,51.0,,58.0,,,52.0,,52.0,82.0,48.0,,62.0,,42.0,55.0,40.0,28.0,36.0,16.0,47.0,20.0,,,
2017_01_31,52.0,46.0,50.0,,58.0,,,52.0,,59.0,44.0,55.0,,33.0,,36.0,48.0,52.0,40.0,37.0,17.0,57.0,13.0,,,
2017_02_01,58.0,40.0,47.0,,54.0,,,49.0,,71.0,59.0,51.0,,44.0,,31.0,41.0,51.0,39.0,33.0,17.0,48.0,13.0,,,
2017_02_02,49.0,48.0,50.0,,59.0,,,45.0,,67.0,35.0,45.0,,24.0,,30.0,31.0,44.0,33.0,21.0,17.0,45.0,23.0,,,
2017_02_03,23.0,16.0,24.0,,21.0,,,19.0,,22.0,38.0,44.0,,,11.0,17.0,23.0,39.0,26.0,24.0,13.0,37.0,24.0,,,
2017_02_04,43.0,28.0,38.0,,35.0,,,37.0,,57.0,46.0,44.0,,39.0,,,35.0,36.0,27.0,25.0,14.0,39.0,9.0,,,
2017_02_05,56.0,45.0,49.0,,57.0,,,50.0,,53.0,65.0,43.0,,53.0,,51.0,46.0,37.0,25.0,19.0,11.0,42.0,9.0,,,
2017_02_06,70.0,52.0,62.0,,68.0,,,63.0,,56.0,77.0,36.0,,52.0,,66.0,59.0,45.0,36.0,24.0,19.0,47.0,15.0,,,
2017_02_07,51.0,42.0,45.0,,52.0,,,48.0,,32.0,89.0,24.0,,65.0,,38.0,74.0,51.0,40.0,22.0,21.0,44.0,19.0,,,
2017_02_08,37.0,31.0,35.0,,38.0,,,32.0,,24.0,86.0,23.0,,109.0,,25.0,65.0,45.0,39.0,29.0,19.0,47.0,20.0,,,
2017_02_09,47.0,41.0,48.0,,47.0,,,44.0,,35.0,86.0,40.0,,56.0,23.0,28.0,60.0,46.0,41.0,34.0,23.0,51.0,18.0,,,
2017_02_10,50.0,43.0,53.0,,52.0,,,48.0,,41.0,64.0,62.0,,34.0,,41.0,63.0,50.0,40.0,47.0,31.0,65.0,16.0,,,
2017_02_11,54.0,42.0,51.0,,52.0,,,52.0,,65.0,39.0,68.0,,33.0,43.0,47.0,46.0,59.0,47.0,44.0,20.0,58.0,14.0,,,
2017_02_12,45.0,38.0,51.0,,51.0,,,39.0,,39.0,31.0,66.0,,48.0,28.0,31.0,35.0,63.0,51.0,34.0,18.0,46.0,15.0,,,
2017_02_13,61.0,48.0,54.0,,62.0,,,,,62.0,47.0,63.0,,50.0,34.0,42.0,61.0,60.0,49.0,38.0,23.0,56.0,16.0,,,
2017_02_14,71.0,59.0,67.0,,75.0,,,,,81.0,52.0,76.0,,47.0,,45.0,58.0,63.0,54.0,41.0,25.0,74.0,14.0,,,
2017_02_15,64.0,53.0,59.0,,70.0,,,57.0,,82.0,48.0,77.0,,40.0,31.0,38.0,44.0,62.0,48.0,31.0,23.0,56.0,10.0,,,
2017_02_16,58.0,51.0,57.0,,66.0,,,51.0,,80.0,58.0,69.0,,35.0,31.0,34.0,43.0,55.0,43.0,30.0,20.0,50.0,10.0,,,
2017_02_17,59.0,47.0,,,60.0,,,54.0,,63.0,71.0,60.0,,53.0,,45.0,45.0,52.0,39.0,31.0,21.0,,11.0,,,
2017_02_18,64.0,51.0,,,73.0,,,65.0,,69.0,63.0,84.0,,42.0,,61.0,66.0,51.0,39.0,34.0,22.0,,9.0,,,
2017_02_19,76.0,70.0,,,86.0,,,80.0,,75.0,54.0,77.0,,44.0,,67.0,62.0,62.0,44.0,38.0,19.0,81.0,9.0,,,
2017_02_20,48.0,54.0,,,52.0,,,48.0,,41.0,87.0,55.0,,69.0,,43.0,81.0,61.0,50.0,41.0,26.0,84.0,13.0,,,
2017_02_21,33.0,37.0,,,37.0,,,34.0,,32.0,60.0,47.0,,81.0,,25.0,56.0,50.0,37.0,34.0,26.0,69.0,13.0,,,
2017_02_22,25.0,22.0,,,25.0,,,21.0,,14.0,51.0,31.0,,86.0,,21.0,45.0,46.0,39.0,46.0,24.0,62.0,9.0,,,
2017_02_23,17.0,16.0,,,18.0,,,16.0,,8.0,48.0,24.0,,79.0,,15.0,38.0,37.0,26.0,37.0,20.0,,9.0,,,
2017_02_24,14.0,15.0,15.0,,15.0,,,14.0,,4.0,36.0,16.0,,53.0,,15.0,24.0,43.0,34.0,34.0,21.0,46.0,7.0,,,
2017_02_25,18.0,17.0,24.0,,16.0,,,15.0,,6.0,35.0,16.0,,,17.0,17.0,25.0,42.0,38.0,41.0,22.0,45.0,9.0,,,
2017_02_26,22.0,24.0,27.0,,22.0,,,20.0,,6.0,40.0,20.0,,,14.0,14.0,,52.0,47.0,32.0,19.0,50.0,9.0,,,
2017_02_27,38.0,32.0,39.0,,42.0,,,35.0,,42.0,38.0,41.0,,36.0,25.0,25.0,,49.0,41.0,36.0,22.0,52.0,8.0,,,
2017_02_28,62.0,56.0,60.0,,71.0,,,62.0,,70.0,56.0,66.0,,38.0,38.0,48.0,55.0,48.0,39.0,40.0,22.0,53.0,10.0,,,
2017_03_01,61.0,50.0,57.0,,67.0,,,57.0,,60.0,70.0,76.0,,39.0,36.0,49.0,52.0,53.0,38.0,44.0,21.0,53.0,12.0,,,
2017_03_02,67.0,55.0,61.0,,70.0,,,64.0,,62.0,47.0,82.0,,41.0,46.0,58.0,52.0,60.0,48.0,51.0,20.0,65.0,13.0,,,
